year,thing,time,money,love
1985,Computers,0,0,0
1986,Computers,0,0,0
1987,Computers,0,0,0
1988,Computers,0,0,0
1989,Computers,0,0,0
1990,Computers,0,0,0
1991,Computers,0,0,0
1992,Computers,1,0,5
1993,Computers,1,0,5
1994,Computers,1,0,5
1995,Computers,1,0,5
1996,Computers,1,0,5
1997,Computers,2,0,7
1998,Computers,2,0,8
1999,Computers,2,0,8
2000,Computers,2,0,9
2001,Computers,2,0,10
2002,Computers,2,0,10
2003,Computers,2,0,10
2004,Computers,0,0,0
2005,Computers,0,0,0
2006,Computers,0,0,0
2007,Computers,0,0,0
2008,Computers,0,0,0
2009,Computers,0,0,0
2010,Computers,0,0,0
2011,Computers,0,0,0
2012,Computers,0,0,0
2013,Computers,0,0,0
2014,Computers,1,0,5
2015,Computers,1,0,10
2016,Computers,7,0,10
1985,Dance,0,0,0
1986,Dance,0,0,0
1987,Dance,0,0,0
1988,Dance,0,0,0
1989,Dance,0,0,0
1990,Dance,1,0,5
1991,Dance,1,0,5
1992,Dance,1,0,5
1993,Dance,1,0,5
1994,Dance,1,0,5
1995,Dance,2,0,6
1996,Dance,3,0,7
1997,Dance,3,0,7
1998,Dance,3,0,8
1999,Dance,3,0,8
2000,Dance,3,0,9
2001,Dance,3,0,10
2002,Dance,3,0,10
2003,Dance,3,0,10
2004,Dance,5,0,10
2005,Dance,5,0,10
2006,Dance,5,0,10
2007,Dance,7,0,10
2008,Dance,7,2,10
2009,Dance,0,0,5
2010,Dance,4,0,6
2011,Dance,4,1,6
2012,Dance,4,1,7
2013,Dance,4,1,7
2014,Dance,2,1,7
2015,Dance,2,1,7
2016,Dance,0,0,0
1985,Job,0,0,0
1986,Job,0,0,0
1987,Job,0,0,0
1988,Job,0,0,0
1989,Job,0,0,0
1990,Job,0,0,0
1991,Job,0,0,0
1992,Job,0,0,0
1993,Job,0,0,0
1994,Job,0,0,0
1995,Job,0,0,0
1996,Job,0,0,0
1997,Job,0,0,0
1998,Job,0,0,0
1999,Job,0,0,0
2000,Job,0,0,0
2001,Job,0,0,0
2002,Job,0,0,0
2003,Job,1,1,5
2004,Job,1,1,5
2005,Job,1,1,5
2006,Job,1,1,5
2007,Job,3,2,5
2008,Job,3,3,5
2009,Job,3,4,5
2010,Job,2,4,5
2011,Job,2,4,5
2012,Job,3,5,5
2013,Job,3,5,7
2014,Job,4,5,7
2015,Job,4,5,7
2016,Job,0,0,0
1985,Kin,10,0,10
1986,Kin,10,0,10
1987,Kin,10,0,10
1988,Kin,9,0,10
1989,Kin,9,0,10
1990,Kin,8,0,10
1991,Kin,7,0,10
1992,Kin,6,0,10
1993,Kin,5,0,10
1994,Kin,5,0,10
1995,Kin,4,0,9
1996,Kin,4,0,8
1997,Kin,2,0,7
1998,Kin,1,0,6
1999,Kin,0,0,6
2000,Kin,0,0,6
2001,Kin,0,0,6
2002,Kin,0,0,6
2003,Kin,0,0,6
2004,Kin,0,0,6
2005,Kin,0,0,6
2006,Kin,0,0,6
2007,Kin,0,0,6
2008,Kin,0,0,6
2009,Kin,0,0,6
2010,Kin,2,0,10
2011,Kin,2,0,10
2012,Kin,2,0,10
2013,Kin,2,0,10
2014,Kin,2,0,10
2015,Kin,2,0,10
2016,Kin,2,0,10
1985,Romance,0,0,0
1986,Romance,0,0,0
1987,Romance,0,0,0
1988,Romance,0,0,0
1989,Romance,0,0,0
1990,Romance,0,0,0
1991,Romance,0,0,0
1992,Romance,0,0,0
1993,Romance,0,0,0
1994,Romance,0,0,0
1995,Romance,0,0,0
1996,Romance,0,0,0
1997,Romance,0,0,0
1998,Romance,0,0,0
1999,Romance,1,0,5
2000,Romance,1,0,5
2001,Romance,1,0,5
2002,Romance,1,0,5
2003,Romance,0,0,0
2004,Romance,0,0,0
2005,Romance,0,0,0
2006,Romance,0,0,0
2007,Romance,0,0,0
2008,Romance,0,0,0
2009,Romance,0,0,0
2010,Romance,1,0,10
2011,Romance,1,0,10
2012,Romance,1,0,10
2013,Romance,1,0,10
2014,Romance,1,0,10
2015,Romance,1,0,10
2016,Romance,1,0,10
1985,School,0,0,0
1986,School,0,0,0
1987,School,0,0,0
1988,School,1,0,5
1989,School,1,0,6
1990,School,1,0,7
1991,School,2,0,8
1992,School,2,0,9
1993,School,3,0,9
1994,School,3,0,9
1995,School,3,0,6
1996,School,3,0,6
1997,School,3,0,9
1998,School,4,0,9
1999,School,4,0,9
2000,School,4,0,9
2001,School,4,0,9
2002,School,4,0,9
2003,School,4,0,7
2004,School,4,0,7
2005,School,4,0,7
2006,School,4,0,7
2007,School,0,0,0
2008,School,0,0,0
2009,School,0,0,0
2010,School,0,0,0
2011,School,0,0,0
2012,School,0,0,0
2013,School,0,0,0
2014,School,0,0,0
2015,School,0,0,0
2016,School,0,0,0
